Placa Madre MSI PRO B760M-P (mATX, DDR5, Intel LGA1700)

Precio: S/. 589.90
Precio en oferta: S/. 479.90

ESPECIFICACIONES:
Factor de Forma	Micro-ATX
Socket	Socket LGA 1700
Chipset	B760
Tipo de memoria	DDR5 DIMM
Slots de memoria	4
Máximo de memoria	256GB
Velocidad soportadas	
Almacenamiento	M.2 PCIe Gen3,M.2 PCIe Gen4,SATA II,SATA III
Puertos SATA II	4
Puertos SATA III	4
Puertos SAS	0
Puertos M.2	2
Puertos PCI-Express 16x	1
Puertos PCI-Express 1x	2
Puertos PCI	
Puertos USB 2.0 totales	8
Puertos USB 3.0 totales	4
Puertos PS/2	2
Salidas VGA	1
Salidas HDMI	1
Salidas DVI	0
Salidas DisplayPort	1
Soporte SLI	No incluye
Soporte CFX	No incluye
Conectores para ventilador	2
Cables SATA incluidos	2
