Tarjeta de video GeForce RTX 5050 8GB Gigabyte Windforce OC V2

Precio: S/. 1 599.00
Precio en oferta: S/. 1 399.00

ESPECIFICACIONES:

GPU	NVIDIA
Cantidad de núcleos	2560 CUDA Cores
Velocidad GPU	2587 MHz
Cantidad de memoria	8GB
Tipo de memoria	GDDR6
Velocidad memoria	20 Gbps
Bus de datos	128 bit
Puertos VGA	No incluye
Puertos DVI	No incluye
Puertos HDMI	2 x HDMI
Puertos DisplayPort	2 x DisplayPort
Uso de fuente de poder	Si
Conectores 16-pin	0
Conectores (6+2)-pin	1
Conectores 6-pin	0
Tamaño de tarjeta	205mm
Uso de slots	2
Consumo	Fuente recomendada de 550W
Dimensiones	201 x 120 x 41 mm
