Tarjeta de video Radeon RX 9060 XT 16GB XFX Swift OC

Precio: S/. 2 399.90
Precio en oferta: S/. 2 099.90

ESPECIFICACIONES:
GPU	AMD
Cantidad de núcleos	2048 Stream Processors
Velocidad GPU	Hasta 3320 MHz
Cantidad de memoria	16GB
Tipo de memoria	GDDR6
Velocidad memoria	20 Gbps
Bus de datos	128 bit
Puertos VGA	No incluye
Puertos DVI	No incluye
Puertos HDMI	1 x HDMI
Puertos DisplayPort	2 x DisplayPort
Uso de fuente de poder	Si
Conectores 16-pin	0
Conectores (6+2)-pin	1
Conectores 6-pin	0
Tamaño de tarjeta	290mm
Uso de slots	2.5
Consumo	Mínimo fuente de 450W
Dimensiones	290 x 124 x 49 mm
