Laptop Acer Aspire Lite Intel Core I7-13620h 16gb 512 Gb 15.6" FHD IPS (1920 X 1080)

Precio: S/. 3 349
Precio en oferta: S/. 2 599

ESPECIFICACIONES:
Sistema operativo específico	Windows 11 Home
Sistema operativo	Windows 11
Memoria RAM	16GB
Procesador específico	Intel Core i7-13620H
Detalle de la garantía	falla de fabrica
Conectividad/conexión	wifi
Capacidad de almacenamiento	512 GB
Resolución de pantalla	FHD
Tipo de Portátil	Laptop
Tamaño de la pantalla	15.6
Modelo	AL15-72P-7948
Hecho en	China
Cuenta con bluetooth	Sí
Garantía del proveedor	1 año
Cantidad de puertos HDMI	1
Núcleos del procesador	10 NUCLEOS
Incluye	laptop/cagador cable poder
Velocidad de procesamiento (GHz)	4.90 GHz

