Laptop Gamer Nitro Lite  Intel Core I7-13620H  Rtx 4050  16 GB RAM 512 GB SSD 16" Wuxga (1920 X 1200) 165Hz Nvidia Geforce

Precio: S/. 3 899.00
Precio en oferta: S/. 3 799.00

ESPECIFICACIONES:
Detalle de la garantía	falla de fabrica
Procesador específico	Intel Core i7-13620H
Memoria RAM	16GB
Capacidad de almacenamiento	512 GB
Marca tarjeta gráfica	Nvidia
Sistema operativo	Windows 11
Sistema operativo específico	Windows 11 Home
Resolución de pantalla	WUXGA
Tipo de Portátil	Laptop Gamer
Tamaño de la pantalla	16",28-Características=HASTAS 6 HORAS",31-Ancho=1.89 CM",32-Largo=35.76 CM",34-Pantalla touch=24.7 CM",36-Resolución de pantalla=WUXGA (1920 X 1200)",37-Tasa de refresco nativa=165Hz",40-Requiere IMEI=3",42-Color=Shale Black ",43-Segmento=GAMER"
Modelo	NL16-71G-75KS
Hecho en	China
Garantía del proveedor	1 año
Cuenta con bluetooth	Sí
Núcleos del procesador	Deca core
Cantidad de puertos HDMI	1
Incluye	laptop/cagador cable poder
Velocidad de procesamiento (GHz)	4.90 GHz
