Laptop Gamer Victus Amd Ryzen 7 Rtx 4050 16 Gb Ram  1tb Ssd 15.6"  15-fb3036la Nvidia Geforce

Precio: S/. 3 999.00
Precio en oferta: S/. 3 899.00

ESPECIFICACIONES:

Tipo de Portátil	Laptop Gamer
Detalle de la garantía	1 año de garantía limitada de hardware con soporte técnico telefónico gratuito.90 días de soporte técnico limitado para software (a partir de la fecha de compra)
Procesador específico	AMD Ryzen¿ 7 7445H
alto	2.3 cm
Ancho	35.8 cm
Largo	25.5 cm
Tarjeta gráfica específica	NVIDIA GeForce RTX 4050
Marca tarjeta gráfica	Nvidia
Tamaño de la pantalla	15.6"
Resolución de pantalla	FHD
Hecho en	China
Modelo	15-FB3036LA
Cantidad de puertos USB	3
Procesador	AMD Ryzen 7
Capacidad de almacenamiento	1TB
Rendimiento	Hasta 4.7 GHz velocidad de ráfaga
Garantía del proveedor	1 año
Cuenta con bluetooth	Si
Núcleos del procesador	Hexa core
Cantidad de puertos HDMI	1
Incluye	N/A
Disco duro secundario	1TB
Velocidad de procesamiento (GHz)	hasta 4.7 GHz velocidad de ráfaga
Memoria RAM	16GB
