Laptop Gamer Lenovo LOQ Essential 13va Gen Intel Core i5 RTX 5050 16GB RAM 512GB SSD 15.6" FHD 144Hz

Precio: S/. 4 699.00
Precio en oferta: S/. 4 599.00

ESPECIFICACIONES:
Procesador específico	Intel Core i5-13450HX
Tarjeta gráfica específica	NVIDIA GeForce RTX 5050
Sistema operativo específico	Windows 11 Home
Marca tarjeta gráfica	Nvidia
Tipo de Portátil	Laptop Gamer
Tamaño de la pantalla	15,6
Procesador	Intel Core I5
Modelo	LOQ Essential
Hecho en	China
Resolución de pantalla	FHD
Capacidad de almacenamiento	512 GB
Garantía del proveedor	1 año
Conectividad/conexión	Wifi / Blueooth / Ethernet (RJ45)
Cuenta con bluetooth	Sí
Núcleos del procesador	Deca core
Cantidad de puertos HDMI	1
Incluye	Manual de usuario y cargador
Capacidad de la tarjeta de video	8GB
Sistema operativo	Windows 11
Velocidad de procesamiento (GHz)	P-core 2.4GHz / 4.6GHz
Memoria RAM	16GB
