
PC GAMER RYZEN 7-5700G Ram 16GB Disco Solido SSD 1TB MONITOR 27” FHD

Precio: S/. 3 520.00
Precio en oferta: S/. 2 550.00 

ESPECIFICACIONES:
Ancho	25cm
alto	49cm
Pantalla touch	No
Procesador específico	AMD RYZEN 7
Año de lanzamiento	24
Condicion del producto	Nuevo
Tipo de PC	Computadores de escritorio
Marca tarjeta gráfica	Integrada
Detalle de la garantía	Garantía de 12 meses ante fallas de fábrica.
Tarjeta gráfica específica	INTEGRADA
Sistema operativo específico	Free dos
Largo	45cm
Tamaño de la pantalla	24
Detalle de la Condición	PRODUCTO NUEVO
Características	Entradas VGA,Computador Armado
Cantidad de puertos USB	3
Dimensiones	49cmx25cmx45cm
Resolución de pantalla	FHD
Modelo	RYZEN 7
Capacidad de almacenamiento	1TB
Color	NEGRO
Garantía del proveedor	1 año
Conectividad/conexión	Ethernet,HDMI,USB
Segmento	Gamer
Núcleos del procesador	Octa core
Características de la pantalla	FHD
Disco duro secundario	No aplica
Incluye	CABLE DE PODER DEL PRODUCTO
Capacidad de la tarjeta de video	No aplica
Sistema operativo	Free dos
Tasa de refresco nativa	100HZ
Velocidad de procesamiento (GHz)	32GHZ
Memoria RAM	16GB
